checklist_ID,Label_Short,Label_Long,Answer_Options,NA_Meaning
Item01,Title_SR,Identify the report as systematic review in title,Yes; No,
Item02,Title_Animal,"Identify that the report contains animal data in title (preclinical,in vivoor synonym)",Yes; No,
Item03,Intro_ConditionModelled,Describe the human condition being modelled (e.g. describe what is already known),Yes; No,
Item04,Intro_InterventionRationale,Describe the biological rationale for testing the intervention (e.g. how would the intervention affect the condition),Yes; No; NA,SRs not investigating intervention
Item05,Intro_ReviewQuestion,"Provide an explicit statement of the question(s) the review addresses (specify the main objectives of the review, ideally in PICO format)",Yes; No,
Item06,Methods_Protocol,Indicate whether a review protocol was registered a priori,Yes; No,
Item06a,Methods_Protocol_Access,Where can the protocol be accessed and indicate the name of the protocol registry OR state that it is not available,Yes; No; NA,No protocol
Item06b,Methods_Protocol_Deviations,Indicate any deviations from the protocol OR that there were no deviations,Yes; No; NA,No protocol
Item07,Methods_SpeciesEligibility,"Eligibility criteria: Describe the animal species to be included in the review (e.g. only mice, vertebrates, large animals)",Yes; No ,
Item08,Methods_ModelEligibility,"Eligibility criteria: Describe the animal model to be included in the review (methods of disease induction, age, sex, etc.)",Yes; No ,
Item09,Methods_InterventionEligibility,Eligibility criteria: Describe the intervention/exposure of interest,Yes; No; NA,SRs not investigating intervention
Item10,Methods_ControlEligibility,Eligibility criteria: Describe the comparators and/or control population,Yes; No; NA,SRs not investigating intervention or meta analysis
Item11,Methods_OutcomeEligibility,Eligibility criteria: Describe the primary outcomes of interest (what is being measured/assessed in primary studies),Yes; No ,
Item12,Methods_InterventionTimingEligibility,Eligibility criteria: Describe the timing (prevention vs rescue) of intervention,Yes; No; NA,SRs not investigating intervention
Item13,Methods_FullSearch,Indicate where a full search strategy of all data bases OR representative search strategy can be accessed,Yes; No ,
Item14,Methods_InclusionLimits,"Describe inclusion limits (years conducted, language, AND publication type)",Yes; No ,
Item15,Methods_ScreeningProcess,Describe the study screening/selection process,Yes; No ,
Item15a,Methods_ScreeningProcess_Platform,"Report the platform used to screen and select studies (Excel, Access, DistillerSR,SyRF)",Yes; No ,
Item16,Methods_NumberScreeners,State the number of independent screeners,Yes; No ,
Item17,Methods_DataExtractionProcess,"Describe methods for extracting numerical data from reports (e.g. data in bar graph, or non-text presentation)",Yes; No; NA,No meta-analysis
Item17a,Methods_DataExtractionProcess_Platform,"Report the platform and tools used to extract numerical data (Graph2data, Engauge)",Yes; No; NA,No meta-analysis
Item18,Methods_NumberReviewers,Report number of independent reviewers extracting data,Yes; No,
Item19,Methods_RoBTool,"Describe methods and tool used to measure study quality/risk of bias in individual studies (e.g. SYRCLE tool, CAMARADES tool)",Yes; No,
